predicate,domain_class,range_class,notes
uses_boundary_version,SpatialMembership,BoundaryVersion,Union signature; validate the concrete class pair at ingestion time.
has_postal_reference,Site,PostalArea,Union signature; validate the concrete class pair at ingestion time.
has_postal_reference,Site,PostOffice,Union signature; validate the concrete class pair at ingestion time.
has_postal_reference,Address,PostalArea,Union signature; validate the concrete class pair at ingestion time.
has_postal_reference,Address,PostOffice,Union signature; validate the concrete class pair at ingestion time.
has_postal_reference,Facility,PostalArea,Union signature; validate the concrete class pair at ingestion time.
has_postal_reference,Facility,PostOffice,Union signature; validate the concrete class pair at ingestion time.
falls_under,Site,Jurisdiction,Union signature; validate the concrete class pair at ingestion time.
falls_under,Project,Jurisdiction,Union signature; validate the concrete class pair at ingestion time.
administered_by,Jurisdiction,Authority,Union signature; validate the concrete class pair at ingestion time.
serves,Facility,DeliveryZone,Union signature; validate the concrete class pair at ingestion time.
serves,Carrier,DeliveryZone,Union signature; validate the concrete class pair at ingestion time.
has_property_context,Project,Property,Union signature; validate the concrete class pair at ingestion time.
has_property_context,Project,Parcel,Union signature; validate the concrete class pair at ingestion time.
owned_by,Project,Person,Union signature; validate the concrete class pair at ingestion time.
owned_by,Project,Organization,Union signature; validate the concrete class pair at ingestion time.
owned_by,Property,Person,Union signature; validate the concrete class pair at ingestion time.
owned_by,Property,Organization,Union signature; validate the concrete class pair at ingestion time.
owned_by,Asset,Person,Union signature; validate the concrete class pair at ingestion time.
owned_by,Asset,Organization,Union signature; validate the concrete class pair at ingestion time.
initiated_by,Project,Actor,Union signature; validate the concrete class pair at ingestion time.
has_phase,Project,ProjectPhase,Union signature; validate the concrete class pair at ingestion time.
has_gate,ProjectPhase,PhaseGate,Union signature; validate the concrete class pair at ingestion time.
has_building,Project,Building,Union signature; validate the concrete class pair at ingestion time.
has_building,Property,Building,Union signature; validate the concrete class pair at ingestion time.
has_system,Building,BuildingSystem,Union signature; validate the concrete class pair at ingestion time.
has_element,BuildingSystem,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
has_element,Building,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
contains_space,Building,Floor,Union signature; validate the concrete class pair at ingestion time.
contains_space,Building,Space,Union signature; validate the concrete class pair at ingestion time.
contains_space,Floor,Floor,Union signature; validate the concrete class pair at ingestion time.
contains_space,Floor,Space,Union signature; validate the concrete class pair at ingestion time.
contains_room,Space,Room,Union signature; validate the concrete class pair at ingestion time.
contains_wbs,Project,WBSNode,Union signature; validate the concrete class pair at ingestion time.
contains_wbs,ProjectPhase,WBSNode,Union signature; validate the concrete class pair at ingestion time.
contains_wbs,Contract,WBSNode,Union signature; validate the concrete class pair at ingestion time.
decomposes_into,WBSNode,WBSNode,Union signature; validate the concrete class pair at ingestion time.
decomposes_into,WBSNode,WorkPackage,Union signature; validate the concrete class pair at ingestion time.
decomposes_into,WBSNode,Deliverable,Union signature; validate the concrete class pair at ingestion time.
contains_activity,WorkPackage,Activity,Union signature; validate the concrete class pair at ingestion time.
contains_activity,WBSNode,Activity,Union signature; validate the concrete class pair at ingestion time.
has_task,Activity,Task,Union signature; validate the concrete class pair at ingestion time.
schedules,Programme,Activity,Union signature; validate the concrete class pair at ingestion time.
schedules,Programme,Task,Union signature; validate the concrete class pair at ingestion time.
schedules,Programme,Milestone,Union signature; validate the concrete class pair at ingestion time.
depends_on,Activity,Activity,Union signature; validate the concrete class pair at ingestion time.
depends_on,Activity,Task,Union signature; validate the concrete class pair at ingestion time.
depends_on,Activity,Approval,Union signature; validate the concrete class pair at ingestion time.
depends_on,Activity,Delivery,Union signature; validate the concrete class pair at ingestion time.
depends_on,Activity,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
depends_on,Task,Activity,Union signature; validate the concrete class pair at ingestion time.
depends_on,Task,Task,Union signature; validate the concrete class pair at ingestion time.
depends_on,Task,Approval,Union signature; validate the concrete class pair at ingestion time.
depends_on,Task,Delivery,Union signature; validate the concrete class pair at ingestion time.
depends_on,Task,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
depends_on,Milestone,Activity,Union signature; validate the concrete class pair at ingestion time.
depends_on,Milestone,Task,Union signature; validate the concrete class pair at ingestion time.
depends_on,Milestone,Approval,Union signature; validate the concrete class pair at ingestion time.
depends_on,Milestone,Delivery,Union signature; validate the concrete class pair at ingestion time.
depends_on,Milestone,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
depends_on,ProjectRequirement,Activity,Union signature; validate the concrete class pair at ingestion time.
depends_on,ProjectRequirement,Task,Union signature; validate the concrete class pair at ingestion time.
depends_on,ProjectRequirement,Approval,Union signature; validate the concrete class pair at ingestion time.
depends_on,ProjectRequirement,Delivery,Union signature; validate the concrete class pair at ingestion time.
depends_on,ProjectRequirement,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
consumes_resource,Activity,Resource,Union signature; validate the concrete class pair at ingestion time.
consumes_resource,Activity,Product,Union signature; validate the concrete class pair at ingestion time.
consumes_resource,Activity,Material,Union signature; validate the concrete class pair at ingestion time.
consumes_resource,Task,Resource,Union signature; validate the concrete class pair at ingestion time.
consumes_resource,Task,Product,Union signature; validate the concrete class pair at ingestion time.
consumes_resource,Task,Material,Union signature; validate the concrete class pair at ingestion time.
produces,Activity,Deliverable,Explicit signature.
produces,Activity,Installation,Explicit signature.
produces,Activity,ProgressMeasurement,Explicit signature.
produces,Task,Deliverable,Explicit signature.
produces,Task,Installation,Explicit signature.
produces,Task,ProgressMeasurement,Explicit signature.
produces,AIJob,AIOutput,Explicit signature.
produces,AIJob,Recommendation,Explicit signature.
produces,AIJob,ActionRequest,Explicit signature.
installed_at,Product,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
installed_at,Product,Space,Union signature; validate the concrete class pair at ingestion time.
installed_at,Product,Asset,Union signature; validate the concrete class pair at ingestion time.
installed_at,Material,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
installed_at,Material,Space,Union signature; validate the concrete class pair at ingestion time.
installed_at,Material,Asset,Union signature; validate the concrete class pair at ingestion time.
installed_at,Installation,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
installed_at,Installation,Space,Union signature; validate the concrete class pair at ingestion time.
installed_at,Installation,Asset,Union signature; validate the concrete class pair at ingestion time.
has_version,DocumentRecord,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
specifies,Specification,Product,Union signature; validate the concrete class pair at ingestion time.
specifies,Specification,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
specifies,Specification,WorkPackage,Union signature; validate the concrete class pair at ingestion time.
specifies,Drawing,Product,Union signature; validate the concrete class pair at ingestion time.
specifies,Drawing,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
specifies,Drawing,WorkPackage,Union signature; validate the concrete class pair at ingestion time.
specifies,Submittal,Product,Union signature; validate the concrete class pair at ingestion time.
specifies,Submittal,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
specifies,Submittal,WorkPackage,Union signature; validate the concrete class pair at ingestion time.
submitted_for,Submittal,Review,Union signature; validate the concrete class pair at ingestion time.
submitted_for,Submittal,Approval,Union signature; validate the concrete class pair at ingestion time.
submitted_for,DocumentRecord,Review,Union signature; validate the concrete class pair at ingestion time.
submitted_for,DocumentRecord,Approval,Union signature; validate the concrete class pair at ingestion time.
represented_by,Evidence,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
represented_by,Evidence,GeoObservation,Union signature; validate the concrete class pair at ingestion time.
represented_by,Evidence,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
reviewed_by,Review,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
reviewed_by,Review,Authority,Union signature; validate the concrete class pair at ingestion time.
approved_by,Approval,ProjectRoleAssignment,Explicit signature.
approved_by,Approval,Authority,Explicit signature.
approved_by,ActionRequest,Person,Explicit signature.
approved_by,ActionRequest,Organization,Explicit signature.
approved_by,ActionRequest,Approval,Explicit signature.
approved_by,AIOutput,Person,Explicit signature.
approved_by,AIOutput,Organization,Explicit signature.
approved_by,AIOutput,Approval,Explicit signature.
supersedes,DocumentVersion,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
supersedes,DocumentVersion,ContractVersion,Union signature; validate the concrete class pair at ingestion time.
supersedes,DocumentVersion,ScheduleUpdate,Union signature; validate the concrete class pair at ingestion time.
supersedes,ContractVersion,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
supersedes,ContractVersion,ContractVersion,Union signature; validate the concrete class pair at ingestion time.
supersedes,ContractVersion,ScheduleUpdate,Union signature; validate the concrete class pair at ingestion time.
supersedes,ScheduleUpdate,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
supersedes,ScheduleUpdate,ContractVersion,Union signature; validate the concrete class pair at ingestion time.
supersedes,ScheduleUpdate,ScheduleUpdate,Union signature; validate the concrete class pair at ingestion time.
classified_by,Product,ClassificationAssignment,Union signature; validate the concrete class pair at ingestion time.
classified_by,BOQItem,ClassificationAssignment,Union signature; validate the concrete class pair at ingestion time.
classified_by,WBSNode,ClassificationAssignment,Union signature; validate the concrete class pair at ingestion time.
classified_by,BuildingElement,ClassificationAssignment,Union signature; validate the concrete class pair at ingestion time.
classified_by,Specification,ClassificationAssignment,Union signature; validate the concrete class pair at ingestion time.
crosswalks_to,ClassificationCode,ClassificationCode,Union signature; validate the concrete class pair at ingestion time.
has_rule_applicability,Project,RuleApplicability,Union signature; validate the concrete class pair at ingestion time.
has_rule_applicability,Site,RuleApplicability,Union signature; validate the concrete class pair at ingestion time.
has_rule_applicability,ProductSpecification,RuleApplicability,Union signature; validate the concrete class pair at ingestion time.
has_rule_applicability,Organization,RuleApplicability,Union signature; validate the concrete class pair at ingestion time.
has_rule_applicability,TransactionLedgerEntry,RuleApplicability,Union signature; validate the concrete class pair at ingestion time.
requires_permit,Project,Permit,Union signature; validate the concrete class pair at ingestion time.
requires_permit,Site,Permit,Union signature; validate the concrete class pair at ingestion time.
requires_permit,Organization,Permit,Union signature; validate the concrete class pair at ingestion time.
has_variant,Product,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
has_variant,Product,Product,Union signature; validate the concrete class pair at ingestion time.
has_variant,ProductFamily,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
has_variant,ProductFamily,Product,Union signature; validate the concrete class pair at ingestion time.
has_brand,Product,Brand,Union signature; validate the concrete class pair at ingestion time.
has_brand,ProductVariant,Brand,Union signature; validate the concrete class pair at ingestion time.
manufactured_by,Product,Organization,Union signature; validate the concrete class pair at ingestion time.
manufactured_by,ProductVariant,Organization,Union signature; validate the concrete class pair at ingestion time.
has_material,Product,Material,Union signature; validate the concrete class pair at ingestion time.
has_material,ProductSpecification,Material,Union signature; validate the concrete class pair at ingestion time.
has_specification,Product,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
has_specification,ProductOffer,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
has_specification,ProjectRequirement,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
offered_by,ProductOffer,Organization,Union signature; validate the concrete class pair at ingestion time.
available_at,ProductOffer,Facility,Union signature; validate the concrete class pair at ingestion time.
available_at,ProductOffer,Warehouse,Union signature; validate the concrete class pair at ingestion time.
available_at,InventoryPosition,Facility,Union signature; validate the concrete class pair at ingestion time.
available_at,InventoryPosition,Warehouse,Union signature; validate the concrete class pair at ingestion time.
for_variant,ProductOffer,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
for_variant,AvailabilityObservation,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
for_variant,PriceObservation,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
has_price_observation,ProductOffer,PriceObservation,Union signature; validate the concrete class pair at ingestion time.
has_availability_observation,ProductOffer,AvailabilityObservation,Union signature; validate the concrete class pair at ingestion time.
has_availability_observation,Facility,AvailabilityObservation,Union signature; validate the concrete class pair at ingestion time.
allows_substitution,ProductSpecification,Product,Union signature; validate the concrete class pair at ingestion time.
allows_substitution,ProductSpecification,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
requires_specification,ProjectRequirement,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
requires_specification,BOQItem,ProductSpecification,Union signature; validate the concrete class pair at ingestion time.
satisfied_by,ProjectRequirement,Product,Union signature; validate the concrete class pair at ingestion time.
satisfied_by,ProjectRequirement,ProductOffer,Union signature; validate the concrete class pair at ingestion time.
satisfied_by,ProjectRequirement,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
satisfied_by,BOQItem,Product,Union signature; validate the concrete class pair at ingestion time.
satisfied_by,BOQItem,ProductOffer,Union signature; validate the concrete class pair at ingestion time.
satisfied_by,BOQItem,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
maps_to,BOQItem,Product,Union signature; validate the concrete class pair at ingestion time.
maps_to,BOQItem,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
maps_to,BOQItem,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
maps_to,ProjectRequirement,Product,Union signature; validate the concrete class pair at ingestion time.
maps_to,ProjectRequirement,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
maps_to,ProjectRequirement,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
priced_by,BOQItem,Rate,Union signature; validate the concrete class pair at ingestion time.
priced_by,BOQItem,PriceObservation,Union signature; validate the concrete class pair at ingestion time.
priced_by,Activity,Rate,Union signature; validate the concrete class pair at ingestion time.
priced_by,Activity,PriceObservation,Union signature; validate the concrete class pair at ingestion time.
priced_by,WorkPackage,Rate,Union signature; validate the concrete class pair at ingestion time.
priced_by,WorkPackage,PriceObservation,Union signature; validate the concrete class pair at ingestion time.
allocates_to,Budget,CostCode,Union signature; validate the concrete class pair at ingestion time.
allocates_to,Budget,BOQItem,Union signature; validate the concrete class pair at ingestion time.
allocates_to,Budget,WorkPackage,Union signature; validate the concrete class pair at ingestion time.
creates_commitment,PurchaseOrder,Commitment,Union signature; validate the concrete class pair at ingestion time.
creates_commitment,Contract,Commitment,Union signature; validate the concrete class pair at ingestion time.
creates_commitment,Subcontract,Commitment,Union signature; validate the concrete class pair at ingestion time.
incurs,Project,Expense,Union signature; validate the concrete class pair at ingestion time.
incurs,Commitment,Expense,Union signature; validate the concrete class pair at ingestion time.
incurs,PurchaseOrder,Expense,Union signature; validate the concrete class pair at ingestion time.
incurs,Delivery,Expense,Union signature; validate the concrete class pair at ingestion time.
contains_line,BOQ,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,BOQ,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,BOQ,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,BOQ,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,BOQ,CartItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,RFQ,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,RFQ,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,RFQ,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,RFQ,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,RFQ,CartItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,Quotation,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,Quotation,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,Quotation,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,Quotation,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,Quotation,CartItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,PurchaseOrder,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,PurchaseOrder,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,PurchaseOrder,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,PurchaseOrder,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,PurchaseOrder,CartItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,ProcurementRequest,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,ProcurementRequest,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,ProcurementRequest,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,ProcurementRequest,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,ProcurementRequest,CartItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,Cart,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,Cart,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,Cart,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,Cart,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,Cart,CartItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,CustomerOrder,BOQItem,Union signature; validate the concrete class pair at ingestion time.
contains_line,CustomerOrder,QuotationLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,CustomerOrder,PurchaseOrderLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,CustomerOrder,ProcurementLine,Union signature; validate the concrete class pair at ingestion time.
contains_line,CustomerOrder,CartItem,Union signature; validate the concrete class pair at ingestion time.
generates,Project,RFQ,Union signature; validate the concrete class pair at ingestion time.
generates,Project,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
generates,Project,AuditEvent,Union signature; validate the concrete class pair at ingestion time.
generates,Project,AIOutput,Union signature; validate the concrete class pair at ingestion time.
generates,Project,Notification,Union signature; validate the concrete class pair at ingestion time.
generates,ProcurementRequest,RFQ,Union signature; validate the concrete class pair at ingestion time.
generates,ProcurementRequest,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
generates,ProcurementRequest,AuditEvent,Union signature; validate the concrete class pair at ingestion time.
generates,ProcurementRequest,AIOutput,Union signature; validate the concrete class pair at ingestion time.
generates,ProcurementRequest,Notification,Union signature; validate the concrete class pair at ingestion time.
generates,PurchaseOrder,RFQ,Union signature; validate the concrete class pair at ingestion time.
generates,PurchaseOrder,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
generates,PurchaseOrder,AuditEvent,Union signature; validate the concrete class pair at ingestion time.
generates,PurchaseOrder,AIOutput,Union signature; validate the concrete class pair at ingestion time.
generates,PurchaseOrder,Notification,Union signature; validate the concrete class pair at ingestion time.
generates,Delivery,RFQ,Union signature; validate the concrete class pair at ingestion time.
generates,Delivery,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
generates,Delivery,AuditEvent,Union signature; validate the concrete class pair at ingestion time.
generates,Delivery,AIOutput,Union signature; validate the concrete class pair at ingestion time.
generates,Delivery,Notification,Union signature; validate the concrete class pair at ingestion time.
generates,Payment,RFQ,Union signature; validate the concrete class pair at ingestion time.
generates,Payment,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
generates,Payment,AuditEvent,Union signature; validate the concrete class pair at ingestion time.
generates,Payment,AIOutput,Union signature; validate the concrete class pair at ingestion time.
generates,Payment,Notification,Union signature; validate the concrete class pair at ingestion time.
generates,AIJob,RFQ,Union signature; validate the concrete class pair at ingestion time.
generates,AIJob,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
generates,AIJob,AuditEvent,Union signature; validate the concrete class pair at ingestion time.
generates,AIJob,AIOutput,Union signature; validate the concrete class pair at ingestion time.
generates,AIJob,Notification,Union signature; validate the concrete class pair at ingestion time.
fulfills,ProcurementLine,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
fulfills,ProcurementLine,BOQItem,Union signature; validate the concrete class pair at ingestion time.
fulfills,ProcurementLine,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
fulfills,ProcurementLine,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
fulfills,PurchaseOrderLine,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
fulfills,PurchaseOrderLine,BOQItem,Union signature; validate the concrete class pair at ingestion time.
fulfills,PurchaseOrderLine,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
fulfills,PurchaseOrderLine,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
fulfills,SupplierOrderLine,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
fulfills,SupplierOrderLine,BOQItem,Union signature; validate the concrete class pair at ingestion time.
fulfills,SupplierOrderLine,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
fulfills,SupplierOrderLine,ServiceOffering,Union signature; validate the concrete class pair at ingestion time.
responds_to,Quotation,RFQ,Union signature; validate the concrete class pair at ingestion time.
placed_with,PurchaseOrder,Organization,Union signature; validate the concrete class pair at ingestion time.
placed_with,CustomerOrder,Organization,Union signature; validate the concrete class pair at ingestion time.
splits_into,Cart,SupplierOrder,Union signature; validate the concrete class pair at ingestion time.
splits_into,Cart,PurchaseOrder,Union signature; validate the concrete class pair at ingestion time.
splits_into,CustomerOrder,SupplierOrder,Union signature; validate the concrete class pair at ingestion time.
splits_into,CustomerOrder,PurchaseOrder,Union signature; validate the concrete class pair at ingestion time.
fulfilled_by,SupplierOrder,Organization,Union signature; validate the concrete class pair at ingestion time.
fulfilled_by,SupplierOrder,Facility,Union signature; validate the concrete class pair at ingestion time.
fulfilled_by,CustomerOrder,Organization,Union signature; validate the concrete class pair at ingestion time.
fulfilled_by,CustomerOrder,Facility,Union signature; validate the concrete class pair at ingestion time.
bills,Invoice,Person,Union signature; validate the concrete class pair at ingestion time.
bills,Invoice,Organization,Union signature; validate the concrete class pair at ingestion time.
attempts_to_settle,PaymentIntent,Invoice,Union signature; validate the concrete class pair at ingestion time.
attempts_to_settle,PaymentIntent,Order,Union signature; validate the concrete class pair at ingestion time.
attempts_to_settle,PaymentIntent,Obligation,Union signature; validate the concrete class pair at ingestion time.
settles,Payment,Invoice,Union signature; validate the concrete class pair at ingestion time.
settles,Payment,PaymentCertificate,Union signature; validate the concrete class pair at ingestion time.
settles,Payment,Obligation,Union signature; validate the concrete class pair at ingestion time.
settles,Payment,Payment,Union signature; validate the concrete class pair at ingestion time.
settles,Settlement,Invoice,Union signature; validate the concrete class pair at ingestion time.
settles,Settlement,PaymentCertificate,Union signature; validate the concrete class pair at ingestion time.
settles,Settlement,Obligation,Union signature; validate the concrete class pair at ingestion time.
settles,Settlement,Payment,Union signature; validate the concrete class pair at ingestion time.
allocates,Settlement,Payment,Union signature; validate the concrete class pair at ingestion time.
allocates,Settlement,Organization,Union signature; validate the concrete class pair at ingestion time.
allocates,Settlement,Fee,Union signature; validate the concrete class pair at ingestion time.
allocates,Settlement,Tax,Union signature; validate the concrete class pair at ingestion time.
finances,FinancingApplication,Project,Union signature; validate the concrete class pair at ingestion time.
finances,FinancingApplication,ProcurementRequest,Union signature; validate the concrete class pair at ingestion time.
finances,FinancingApplication,Order,Union signature; validate the concrete class pair at ingestion time.
finances,FinancingApplication,Payroll,Union signature; validate the concrete class pair at ingestion time.
finances,Loan,Project,Union signature; validate the concrete class pair at ingestion time.
finances,Loan,ProcurementRequest,Union signature; validate the concrete class pair at ingestion time.
finances,Loan,Order,Union signature; validate the concrete class pair at ingestion time.
finances,Loan,Payroll,Union signature; validate the concrete class pair at ingestion time.
moves,DeliveryRequest,Shipment,Union signature; validate the concrete class pair at ingestion time.
moves,DeliveryRequest,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
moves,DeliveryRequest,Asset,Union signature; validate the concrete class pair at ingestion time.
moves,ReturnMovement,Shipment,Union signature; validate the concrete class pair at ingestion time.
moves,ReturnMovement,ProductVariant,Union signature; validate the concrete class pair at ingestion time.
moves,ReturnMovement,Asset,Union signature; validate the concrete class pair at ingestion time.
assigns,DispatchAssignment,Carrier,Union signature; validate the concrete class pair at ingestion time.
assigns,DispatchAssignment,Vehicle,Union signature; validate the concrete class pair at ingestion time.
assigns,DispatchAssignment,Driver,Union signature; validate the concrete class pair at ingestion time.
assigns,DispatchAssignment,TransportRoute,Union signature; validate the concrete class pair at ingestion time.
originates_at,TransportRoute,Facility,Union signature; validate the concrete class pair at ingestion time.
originates_at,TransportRoute,Site,Union signature; validate the concrete class pair at ingestion time.
originates_at,TransportRoute,Address,Union signature; validate the concrete class pair at ingestion time.
originates_at,Shipment,Facility,Union signature; validate the concrete class pair at ingestion time.
originates_at,Shipment,Site,Union signature; validate the concrete class pair at ingestion time.
originates_at,Shipment,Address,Union signature; validate the concrete class pair at ingestion time.
destines_at,TransportRoute,Site,Union signature; validate the concrete class pair at ingestion time.
destines_at,TransportRoute,Address,Union signature; validate the concrete class pair at ingestion time.
destines_at,TransportRoute,Person,Union signature; validate the concrete class pair at ingestion time.
destines_at,TransportRoute,Organization,Union signature; validate the concrete class pair at ingestion time.
destines_at,Shipment,Site,Union signature; validate the concrete class pair at ingestion time.
destines_at,Shipment,Address,Union signature; validate the concrete class pair at ingestion time.
destines_at,Shipment,Person,Union signature; validate the concrete class pair at ingestion time.
